Service;Agent;Time;Medium
IS-Electronic Storage::Usage request;giorgia;20;Email
Desktop Support::Personalized (user) setup;giorgia;30;Email
IS-Printer support::Usage request;petros;21;Email
Desktop Support;giorgia;181;Email
Desktop Support::Usage request;giorgia;61;Email
IS-Backup::CrashPlan usage request;giorgia;61;Email
IS-Backup::CrashPlan usage request;giorgia;61;Email
IS-Audiovisual Material Production::Video recording;giorgia;90;Email
IS-Electronic Storage::Usage request;giorgia;15;Email
IS-Multimedia Equipment::Usage request - Multimedia equipment;giorgia;60;Email
Laptop Support::Usage request;giorgia;63;Email
Desktop Support::Usage request;giorgia;31;Email
Laptop Support;kallis;33;Email
Desktop Support;kallis;611;Email
Laptop Support::Usage request;giorgia;180;Email
Microsoft Software Support::Personalized (user) setup - Ms Windows;giorgia;71;Email
IS-Accounts::Usage request;giorgia;15;Email
Non-strategic Software::Usage request;giorgia;15;Email
IS-Printer support;giorgia;3;Email
IS-Backup::CrashPlan usage request;giorgia;62;Email
IS-Wireless Network::Usage request;petros;17;Email
Laptop Support::Usage request;giorgia;15;Email
Microsoft Software Support::Usage request - Ms Office;petros;5;Email
Laptop Support;petros;62;Email
Macintosh::Usage request;petros;94;OnSiteVisit
St.Wel-Banner::Web Support;petros;37;Email
Specialized Hardware::Usage request;giorgia;31;Email
Specialized software::Usage request;giorgia;17;Email
Obsolete equipment Management;giorgia;181;Email
Laptop Support::Usage request;giorgia;14;Email
Desktop Support::Usage request;giorgia;14;Email
IS-Printer support;giorgia;16;Email
IS-Remote Access (VPN)::New computer (installation);giorgia;11;Email
IS-Tele-collaboration & synchronous education::Usage request;giorgia;31;Email
Specialized software::Usage request;giorgia;16;Email
Microsoft Software Support::Usage request - MS Windows;giorgia;30;Email
Laptop Support::Usage request;petros;31;Email
Laptop Support::Usage request;petros;32;Email
IS-Fax::Usage request;petros;18;Email
Laptop Support::Usage request;petros;20;Phone
IS-Backup::CrashPlan usage request;petros;23;Email
IS-Telephony::Usage request;petros;68;Email
Laptop Support::Personalized (user) setup;petros;54;Email
Specialized software::Usage request;petros;71;Email
Specialized software::Usage request;giorgia;32;Email
Specialized software::New installation;giorgia;37;Email
IS-Strategic Software::Usage request-Ms Office 365;giorgia;30;Email
